# Weight Table Information
#
#    Name:                        Supine
#    Time Stamp:                  Thu Sep  6 14:12:52 2018
#    Table Version:               2 (Variable Size)
#    Entry Size:                  0 bytes
#    Total Entries:               248
#    Number of Analog References: 3
#    Number of DSP Reference:     23
#    Description:                 
#
#               Analog Ref.            DSP Ref.                                                                                                                                                                                                                            
#
Entry  Channel  MCxA    MCyA    MCzA      MLzA       MLyA       MLzaA      MLyaA      MLxA       MLxaA      MRzA       MRxA       MRzaA      MRxaA      MRyA       MCzA       MRyaA      MCzaA      MCyA       GzxA       MCyaA      MCxA       MCxaA      GyyA       GzyA       GxxA       GyxA       
40     A72      824     669     347       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.251608   0.000000  -0.059264  -0.212277   0.537507   0.006573  -0.216153   0.029410  -0.068472   0.385302   0.535625   0.179236 
41     A11      -587    -257    -863      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.313307   0.000000   0.044600   0.105530  -0.518902  -0.039777   0.266533  -0.020061   0.085295  -0.144338  -0.167518  -0.083375 
42     A47      -816    -462    -496      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.315175   0.000000   0.052793   0.227502  -0.516874  -0.025355   0.279008  -0.031938   0.038078  -0.248418  -0.411974  -0.300128 
43     A160     -546    -1000   236       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.501671   0.000000   0.060594   0.319706  -0.463703   0.004836   0.522715  -0.027288   0.015793  -0.786736  -0.798922   0.228567 
44     A64      342     -802    -754      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.205548   0.000000   0.043603   0.017350  -0.277660  -0.043884   0.293605   0.015276   0.046290  -0.238862   0.248308   0.064654 
45     A3       305     -2      992       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.152259   0.000000  -0.051936  -0.171664   0.563127  -0.003998  -0.210596   0.040607   0.142927  -0.088309   0.340788   0.454206 
46     A177     -662    1045    255       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.491928   0.000000  -0.007102   0.469961  -0.541812   0.047776   0.640679  -0.122166  -0.245137   0.676372  -0.757814  -0.534452 
47     A63      491     -553    -806      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.333052   0.000000   0.054759   0.224183  -0.349129  -0.011529   0.367017   0.004773  -0.039780  -0.103292   0.404851  -0.192348 
48     A155     -160    1214    36        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.189596   0.000000  -0.020719   0.141008  -0.257143   0.045102   0.385306  -0.068402  -0.170022   0.833976   0.026116  -0.547188 
49     A10      -387    -281    -935      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.128746   0.000000   0.048916   0.164534  -0.491135  -0.053375   0.260115  -0.008511   0.128295  -0.071810  -0.057635  -0.218427 
50     A127     -84     1217    158       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.255873   0.000000  -0.024021   0.020483  -0.118978   0.069205   0.482479  -0.066268  -0.190264   0.851321   0.008612  -0.473776 
51     A67      -115    -1013   -596      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.216221   0.000000   0.031720   0.251532  -0.212197  -0.077755   0.236073   0.017211   0.167635  -0.489326  -0.084024   0.113006 
52     A115     -79     1178    -484      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.694826   0.000000  -0.038785   0.587828  -0.123437   0.050579   0.847592  -0.071262   0.141749   1.107398  -0.261624  -1.566388 
53     A247     -193    -1170   168       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.023709   0.000000   0.069590  -0.113156  -0.150111  -0.026779  -0.230000   0.030767  -0.481866  -1.098274  -0.241145   1.866920 
54     A174     70      1251    -127      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.365074   0.000000  -0.065823   0.379958   0.144552   0.030236   0.514528  -0.046359   0.275109   1.131658  -0.013422  -1.469483 
55     A194     369     1139    -223      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.528279   0.000000  -0.083882   0.397345   0.330969   0.028947   0.561766  -0.020315   0.436200   0.969455   0.354600  -1.524611 
56     A5       68      -31     925       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.031499   0.000000  -0.062296  -0.030774   0.584898  -0.019714  -0.026491   0.036277   0.238497  -0.099401   0.221632   0.578594 
57     A242     806     -933    -303      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.062025   0.000000  -0.045178  -0.162850   1.303227  -0.020725  -0.116439   0.076760  -0.841569  -0.663323   0.926881   0.252202 
58     A176     421     909     -244      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.136509   0.000000  -0.048793   0.139342   0.229728   0.049937   0.241141  -0.004751   0.394449   0.801137   0.459331  -1.362142 
59     A78      -875    705     -381      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.479808   0.000000   0.016902   0.393525  -0.343466   0.002954   0.572986  -0.088085  -0.500544   0.523360  -0.597096  -0.617605 
